"Country","Year","Influenza_activity","Dengue_activity","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
Sweden,2010,106,,2.5,81.6,1.99,9382297.0,304858727345,Europe,Northern Europe
Sweden,2011,201,,2.4,81.7,1.9,9462352.0,316798617621,Europe,Northern Europe
Sweden,2012,368,,2.4,81.8,1.91,9543457.0,,Europe,Northern Europe
Sweden,2013,556,,2.4,81.9,1.93,9624247.0,,Europe,Northern Europe
Sweden,2014,266,,2.4,82.1,1.93,9703247.0,,Europe,Northern Europe
Sweden,2015,328,,2.4,82.1,1.93,9779426.0,,Europe,Northern Europe
Switzerland,2002,,,4.6,80.4,1.42,7242034.0,253918245870,Europe,Western Europe
Switzerland,2003,,,4.4,80.6,1.42,7289901.0,253416009483,Europe,Western Europe
Switzerland,2004,1600,,4.4,81.0,1.42,7345299.0,259834269511,Europe,Western Europe
Switzerland,2005,3849,,4.3,81.3,1.43,7408608.0,266695570076,Europe,Western Europe
Switzerland,2006,1781,,4.2,81.5,1.44,7480317.0,276377653102,Europe,Western Europe
Switzerland,2007,2999,,4.1,81.7,1.46,7560141.0,286450319616,Europe,Western Europe
Switzerland,2008,3345,,4.0,82.0,1.47,7646542.0,292452808698,Europe,Western Europe
Switzerland,2009,5836,,3.9,82.0,1.49,7737316.0,286960456156,Europe,Western Europe
Switzerland,2010,1044,,3.9,82.3,1.5,7830534.0,294748691280,Europe,Western Europe
Switzerland,2011,2314,,3.8,82.6,1.51,7925813.0,300938413797,Europe,Western Europe
Switzerland,2012,2944,,3.7,82.7,1.52,8022628.0,,Europe,Western Europe
Switzerland,2013,6379,,3.6,82.8,1.53,8118719.0,,Europe,Western Europe
Switzerland,2014,3870,,3.5,82.9,1.54,8211383.0,,Europe,Western Europe
Switzerland,2015,6390,,3.4,83.0,1.55,8298663.0,,Europe,Western Europe
Ukraine,2002,,,14.3,67.5,1.15,47890647,35912742450,Europe,Eastern Europe
Ukraine,2003,,,13.6,67.7,1.18,47493771,39288540241,Europe,Eastern Europe
Ukraine,2004,,,13.0,67.5,1.21,47127110,44042453610,Europe,Eastern Europe
Ukraine,2005,,,12.5,67.1,1.26,46795313,45231599857,Europe,Eastern Europe
Ukraine,2006,17646,,12.0,67.9,1.3,46502718,48533506647,Europe,Eastern Europe
Ukraine,2007,21139,,11.6,67.6,1.35,46249196,52367654045,Europe,Eastern Europe
Ukraine,2008,20457,,11.1,67.8,1.38,46028476,53572110088,Europe,Eastern Europe
Ukraine,2009,25627,,10.6,69.6,1.41,45830711,45643437795,Europe,Eastern Europe
Ukraine,2010,20098,,10.1,70.5,1.44,45647497,47514818744,Europe,Eastern Europe
Ukraine,2011,19755,,9.6,71.1,1.45,45477690,49985589319,Europe,Eastern Europe
Ukraine,2012,19375,,9.1,71.2,1.46,45319949,,Europe,Eastern Europe
Ukraine,2013,21955,,8.6,71.3,1.47,45165211,,Europe,Eastern Europe
Ukraine,2014,20112,,8.1,71.3,1.48,45002497,,Europe,Eastern Europe
Ukraine,2015,12101,,7.7,71.5,1.49,44823765,,Europe,Eastern Europe
United.States,2002,,,,,,,,,
United.States,2003,,,,,,,,,
United.States,2004,58593,,,,,,,,
United.States,2005,83959,,,,,,,,
United.States,2006,77657,,,,,,,,
United.States,2007,73300,,,,,,,,
United.States,2008,92943,,,,,,,,
United.States,2009,139394,,,,,,,,
United.States,2010,73160,,,,,,,,
United.States,2011,86415,,,,,,,,
United.States,2012,122918,,,,,,,,
United.States,2013,130196,,,,,,,,
United.States,2014,99848,,,,,,,,
United.States,2015,61295,,,,,,,,
Uruguay,2002,,,13.7,75.0,2.21,3327770.0,20249041605,Americas,South America
Uruguay,2003,,,13.3,75.0,2.19,3325637.0,20412103881,Americas,South America
Uruguay,2004,7555,,12.8,75.3,2.17,3324096.0,21433558291,Americas,South America
Uruguay,2005,6647,,12.4,75.5,2.16,3325608.0,23032530046,Americas,South America
Uruguay,2006,6776,,12.0,75.7,2.14,3331041.0,23976536117,Americas,South America
Uruguay,2007,7430,,11.5,75.7,2.12,3339750.0,25544963828,Americas,South America
Uruguay,2008,6339,,11.2,76.0,2.11,3350832.0,27378107386,Americas,South America
Uruguay,2009,5770,,11.0,76.2,2.09,3362761.0,28040043322,Americas,South America
Uruguay,2010,5087,,10.6,76.2,2.08,3374414.0,30534154733,Americas,South America
Uruguay,2011,4686,,10.3,76.3,2.07,3385610.0,32274699322,Americas,South America
Uruguay,2012,5070,,10.0,76.3,2.06,3396753.0,,Americas,South America
Uruguay,2013,5005,,9.5,76.4,2.05,3407969.0,,Americas,South America
Uruguay,2014,5390,,9.1,76.6,2.04,3419516.0,,Americas,South America
Uruguay,2015,4195,,8.7,76.8,2.03,3431555.0,,Americas,South America
